Case 1: Case 1
distance,BAD
5,0.002898
7,0.003793
9,0.004521
11,0.005094
13,0.00552
15,0.005761
17,0.006033

Case 2: Case 2
distance,line,BAD
7,0.05,0.00353,0.003479,1.46%
7,0.25,0.00316,0.003091,2.21%
7,0.5,0.003044,0.003025,0.63%
7,0.75,0.003248,0.002962,9.21%
9,0.0,0.004582,0.004523,1.30%
9,0.05,0.004275,0.004298,0.54%
9,0.25,0.004414,0.003999,9.87%
9,0.5,0.004063,0.003953,2.74%
9,0.75,0.004086,0.003966,2.98%
11,0.0,0.005417,0.004998,8.05%
11,0.05,0.004975,0.004865,2.24%
11,0.25,0.004868,0.004725,2.98%
11,0.5,0.004879,0.004644,4.94%
11,0.75,0.004793,0.004602,4.07%
13,0.0,0.005789,0.005586,3.57%
13,0.05,0.005597,0.005474,2.22%
13,0.25,0.005456,0.005339,2.17%
13,0.5,0.005221,0.005261,0.76%
13,0.75,0.005334,0.005299,0.66%
15,0.0,0.006077,0.005841,3.96%
15,0.05,0.006073,0.005754,5.39%
15,0.25,0.00576,0.005644,2.03%
15,0.5,0.005812,0.005619,3.38%
15,0.75,0.00584,0.005598,4.23%
17,0.0,0.006244,0.006021,3.64%
17,0.05,0.006144,0.005969,2.89%
17,0.25,0.006133,0.005873,4.33%
17,0.5,0.006151,0.00586,4.85%
17,0.75,0.006103,0.005819,4.76%

Comparison of Percent Changes: Case 1 vs. Case 3 (Homogeneous vs. Heterogeneous)
Alpha,Avg. Percent Difference
0.0,0.94%
0.01,0.74%
0.30,2.38%
0.60,4.5%
0.90,4.9%

Comparison of Percent Changes: Case 2 vs. 4 (Homogeneous Defect vs. Heterogeneous Defect)
Pdefect,Avg. Percent Difference
0.0,4.05%
0.05,3.11%
0.25,3.50%
0.50,3.96%
0.75,3.77%

Comparison of Percent Changes: Case 1 vs 2 (Homogeneous vs. Homogeneous Defect)
P_def,Avg. Percent Difference
0.0,1.03%
0.05,5.87%
0.25,12.82%
0.50,14.86%
0.75,15.97%

Comparison of Percent Changes: Case 3 vs. 4 (Heterogenous vs. Heterogeneous w/ Defect)
P_def,Avg. Percent Difference
0.0,1.56%
0.05,7.41%
0.25,14.0%
0.50,15.5%
0.75,16.65%
