p_sigma,p_mu,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.006,0.0483293023857175,0.25,"(6, 6)",center data,11,3,50000,25223,0.50446,0.1681533333,heterogeneous-defect
0.006,0.0483293023857175,0.5,"(6, 6)",center data,11,3,50000,25080,0.5016,0.1672,heterogeneous-defect
0.006,0.0483293023857175,0.75,"(6, 6)",center data,11,3,50000,24860,0.4972,0.1657333333,heterogeneous-defect
0.006,0.0615848211066026,0.0,"(6, 6)",center data,11,3,50000,24996,0.49992,0.16664,heterogeneous-defect
0.006,0.0615848211066026,0.05,"(6, 6)",center data,11,3,50000,24956,0.49912,0.1663733333,heterogeneous-defect
0.006,0.0615848211066026,0.25,"(6, 6)",center data,11,3,50000,25092,0.50184,0.16728,heterogeneous-defect
0.006,0.0615848211066026,0.5,"(6, 6)",center data,11,3,50000,24813,0.49626,0.16542,heterogeneous-defect
0.006,0.0615848211066026,0.75,"(6, 6)",center data,11,3,50000,25166,0.50332,0.1677733333,heterogeneous-defect
0.006,0.0784759970351461,0.0,"(6, 6)",center data,11,3,50000,25111,0.50222,0.1674066667,heterogeneous-defect
0.006,0.0784759970351461,0.05,"(6, 6)",center data,11,3,50000,24784,0.49568,0.1652266667,heterogeneous-defect
0.006,0.0784759970351461,0.25,"(6, 6)",center data,11,3,50000,24936,0.49872,0.16624,heterogeneous-defect
0.006,0.0784759970351461,0.5,"(6, 6)",center data,11,3,50000,25091,0.50182,0.1672733333,heterogeneous-defect
0.006,0.0784759970351461,0.75,"(6, 6)",center data,11,3,50000,25097,0.50194,0.1673133333,heterogeneous-defect
0.006,0.1,0.0,"(6, 6)",center data,11,3,50000,24772,0.49544,0.1651466667,heterogeneous-defect
0.006,0.1,0.05,"(6, 6)",center data,11,3,50000,24858,0.49716,0.16572,heterogeneous-defect
0.006,0.1,0.25,"(6, 6)",center data,11,3,50000,25070,0.5014,0.1671333333,heterogeneous-defect
0.006,0.1,0.5,"(6, 6)",center data,11,3,50000,24961,0.49922,0.1664066667,heterogeneous-defect
0.006,0.1,0.75,"(6, 6)",center data,11,3,50000,25120,0.5024,0.1674666667,heterogeneous-defect
0.006,0.001,0.25,"(7, 7)",center data,13,3,50000,211,0.00422,0.001406666667,heterogeneous-defect
0.006,0.00162377673918872,0.0,"(7, 7)",center data,13,3,50000,470,0.0094,0.003133333333,heterogeneous-defect
0.006,0.00127427498570313,0.5,"(7, 7)",center data,13,3,50000,666,0.01332,0.00444,heterogeneous-defect
0.006,0.00162377673918872,0.05,"(7, 7)",center data,13,3,50000,395,0.0079,0.002633333333,heterogeneous-defect
0.006,0.00127427498570313,0.25,"(7, 7)",center data,13,3,50000,536,0.01072,0.003573333333,heterogeneous-defect
0.006,0.001,0.05,"(7, 7)",center data,13,3,50000,353,0.00706,0.002353333333,heterogeneous-defect
0.006,0.00127427498570313,0.0,"(7, 7)",center data,13,3,50000,256,0.00512,0.001706666667,heterogeneous-defect
0.006,0.00127427498570313,0.75,"(7, 7)",center data,13,3,50000,581,0.01162,0.003873333333,heterogeneous-defect
0.006,0.001,0.5,"(7, 7)",center data,13,3,50000,443,0.00886,0.002953333333,heterogeneous-defect
0.006,0.001,0.0,"(7, 7)",center data,13,3,50000,329,0.00658,0.002193333333,heterogeneous-defect
0.006,0.00127427498570313,0.05,"(7, 7)",center data,13,3,50000,512,0.01024,0.003413333333,heterogeneous-defect
0.006,0.001,0.75,"(7, 7)",center data,13,3,50000,494,0.00988,0.003293333333,heterogeneous-defect
0.006,0.00162377673918872,0.25,"(7, 7)",center data,13,3,50000,559,0.01118,0.003726666667,heterogeneous-defect
0.006,0.00162377673918872,0.5,"(7, 7)",center data,13,3,50000,508,0.01016,0.003386666667,heterogeneous-defect
0.006,0.00162377673918872,0.75,"(7, 7)",center data,13,3,50000,482,0.00964,0.003213333333,heterogeneous-defect
0.006,0.00206913808111479,0.0,"(7, 7)",center data,13,3,50000,498,0.00996,0.00332,heterogeneous-defect
0.006,0.00206913808111479,0.05,"(7, 7)",center data,13,3,50000,622,0.01244,0.004146666667,heterogeneous-defect
0.006,0.00206913808111479,0.25,"(7, 7)",center data,13,3,50000,757,0.01514,0.005046666667,heterogeneous-defect
0.006,0.00206913808111479,0.5,"(7, 7)",center data,13,3,50000,767,0.01534,0.005113333333,heterogeneous-defect
0.006,0.00206913808111479,0.75,"(7, 7)",center data,13,3,50000,818,0.01636,0.005453333333,heterogeneous-defect
0.006,0.00263665089873036,0.0,"(7, 7)",center data,13,3,50000,704,0.01408,0.004693333333,heterogeneous-defect
0.006,0.00263665089873036,0.05,"(7, 7)",center data,13,3,50000,795,0.0159,0.0053,heterogeneous-defect
0.006,0.00263665089873036,0.25,"(7, 7)",center data,13,3,50000,1022,0.02044,0.006813333333,heterogeneous-defect
0.006,0.00263665089873036,0.5,"(7, 7)",center data,13,3,50000,759,0.01518,0.00506,heterogeneous-defect
0.006,0.00263665089873036,0.75,"(7, 7)",center data,13,3,50000,1043,0.02086,0.006953333333,heterogeneous-defect
0.006,0.00335981828628378,0.0,"(7, 7)",center data,13,3,50000,845,0.0169,0.005633333333,heterogeneous-defect
0.006,0.00335981828628378,0.05,"(7, 7)",center data,13,3,50000,1292,0.02584,0.008613333333,heterogeneous-defect
0.006,0.00335981828628378,0.25,"(7, 7)",center data,13,3,50000,1358,0.02716,0.009053333333,heterogeneous-defect
0.006,0.00335981828628378,0.5,"(7, 7)",center data,13,3,50000,1075,0.0215,0.007166666667,heterogeneous-defect
0.006,0.00335981828628378,0.75,"(7, 7)",center data,13,3,50000,1129,0.02258,0.007526666667,heterogeneous-defect
0.006,0.0042813323987194,0.0,"(7, 7)",center data,13,3,50000,1347,0.02694,0.00898,heterogeneous-defect
0.006,0.0042813323987194,0.05,"(7, 7)",center data,13,3,50000,1361,0.02722,0.009073333333,heterogeneous-defect
0.006,0.0042813323987194,0.25,"(7, 7)",center data,13,3,50000,2147,0.04294,0.01431333333,heterogeneous-defect
0.006,0.0042813323987194,0.5,"(7, 7)",center data,13,3,50000,1481,0.02962,0.009873333333,heterogeneous-defect
0.006,0.0042813323987194,0.75,"(7, 7)",center data,13,3,50000,1900,0.038,0.01266666667,heterogeneous-defect
0.006,0.00545559478116852,0.0,"(7, 7)",center data,13,3,50000,2281,0.04562,0.01520666667,heterogeneous-defect
0.006,0.00545559478116852,0.05,"(7, 7)",center data,13,3,50000,2339,0.04678,0.01559333333,heterogeneous-defect
0.006,0.00545559478116852,0.25,"(7, 7)",center data,13,3,50000,2844,0.05688,0.01896,heterogeneous-defect
