p_sigma,p_mu,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.0,0.00206913808111479,5,3,50000,352,0.00704,0.002346666667,heterogeneous
0.006,0.00206913808111479,5,3,50000,3540,0.0708,0.0236,heterogeneous
0.009,0.00206913808111479,5,3,50000,4842,0.09684,0.03228,heterogeneous
0.011,0.00206913808111479,5,3,50000,5251,0.10502,0.03500666667,heterogeneous
0.015,0.00206913808111479,5,3,50000,12042,0.24084,0.08028,heterogeneous
0.0,0.00263665089873036,5,3,50000,596,0.01192,0.003973333333,heterogeneous
0.006,0.00263665089873036,5,3,50000,3738,0.07476,0.02492,heterogeneous
0.009,0.00263665089873036,5,3,50000,6019,0.12038,0.04012666667,heterogeneous
0.011,0.00263665089873036,5,3,50000,6186,0.12372,0.04124,heterogeneous
0.0,0.00335981828628378,5,3,50000,1055,0.0211,0.007033333333,heterogeneous
0.015,0.00263665089873036,5,3,50000,12354,0.24708,0.08236,heterogeneous
0.006,0.00335981828628378,5,3,50000,2643,0.05286,0.01762,heterogeneous
0.009,0.00335981828628378,5,3,50000,3944,0.07888,0.02629333333,heterogeneous
0.011,0.00335981828628378,5,3,50000,9728,0.19456,0.06485333333,heterogeneous
0.015,0.00335981828628378,5,3,50000,10720,0.2144,0.07146666667,heterogeneous
0.0,0.0042813323987194,5,3,50000,1811,0.03622,0.01207333333,heterogeneous
0.006,0.0042813323987194,5,3,50000,5254,0.10508,0.03502666667,heterogeneous
0.009,0.0042813323987194,5,3,50000,7167,0.14334,0.04778,heterogeneous
0.011,0.0042813323987194,5,3,50000,9529,0.19058,0.06352666667,heterogeneous
0.015,0.0042813323987194,5,3,50000,14492,0.28984,0.09661333333,heterogeneous
0.0,0.00545559478116852,5,3,50000,3090,0.0618,0.0206,heterogeneous
0.006,0.00545559478116852,5,3,50000,3112,0.06224,0.02074666667,heterogeneous
0.009,0.00545559478116852,5,3,50000,6079,0.12158,0.04052666667,heterogeneous
0.011,0.00545559478116852,5,3,50000,12096,0.24192,0.08064,heterogeneous
0.015,0.00545559478116852,5,3,50000,11368,0.22736,0.07578666667,heterogeneous
0.0,0.0069519279617756,5,3,50000,4969,0.09938,0.03312666667,heterogeneous
0.006,0.0069519279617756,5,3,50000,8084,0.16168,0.05389333333,heterogeneous
