p,p_defect,defect_coordinate,defect_type,distance,rounds,shots,errors,ler_shot,ler_round,noise_model
0.00545559478116852,0.0,"(7, 7)",center data,13,3,50000,715,0.0143,0.004766666667,homogeneous
0.00545559478116852,0.25,"(7, 7)",center data,13,3,50000,821,0.01642,0.005473333333,homogeneous
0.00545559478116852,0.05,"(7, 7)",center data,13,3,50000,729,0.01458,0.00486,homogeneous
0.00545559478116852,0.5,"(7, 7)",center data,13,3,50000,866,0.01732,0.005773333333,homogeneous
0.00545559478116852,0.75,"(7, 7)",center data,13,3,50000,914,0.01828,0.006093333333,homogeneous
0.0069519279617756,0.0,"(7, 7)",center data,13,3,50000,2131,0.04262,0.01420666667,homogeneous
0.0069519279617756,0.05,"(7, 7)",center data,13,3,50000,2318,0.04636,0.01545333333,homogeneous
0.0069519279617756,0.25,"(7, 7)",center data,13,3,50000,2527,0.05054,0.01684666667,homogeneous
0.0069519279617756,0.5,"(7, 7)",center data,13,3,50000,2702,0.05404,0.01801333333,homogeneous
0.0069519279617756,0.75,"(7, 7)",center data,13,3,50000,2760,0.0552,0.0184,homogeneous
0.00885866790410082,0.0,"(7, 7)",center data,13,3,50000,5767,0.11534,0.03844666667,homogeneous
0.00885866790410082,0.05,"(7, 7)",center data,13,3,50000,6194,0.12388,0.04129333333,homogeneous
0.00885866790410082,0.25,"(7, 7)",center data,13,3,50000,6477,0.12954,0.04318,homogeneous
0.00885866790410082,0.5,"(7, 7)",center data,13,3,50000,6842,0.13684,0.04561333333,homogeneous
0.00885866790410082,0.75,"(7, 7)",center data,13,3,50000,6785,0.1357,0.04523333333,homogeneous
0.0112883789168469,0.0,"(7, 7)",center data,13,3,50000,12452,0.24904,0.08301333333,homogeneous
0.0112883789168469,0.05,"(7, 7)",center data,13,3,50000,12575,0.2515,0.08383333333,homogeneous
0.0112883789168469,0.25,"(7, 7)",center data,13,3,50000,13121,0.26242,0.08747333333,homogeneous
0.0112883789168469,0.5,"(7, 7)",center data,13,3,50000,13322,0.26644,0.08881333333,homogeneous
0.0112883789168469,0.75,"(7, 7)",center data,13,3,50000,13210,0.2642,0.08806666667,homogeneous
0.0143844988828766,0.0,"(7, 7)",center data,13,3,50000,19496,0.38992,0.1299733333,homogeneous
0.0143844988828766,0.05,"(7, 7)",center data,13,3,50000,19581,0.39162,0.13054,homogeneous
0.0143844988828766,0.25,"(7, 7)",center data,13,3,50000,19984,0.39968,0.1332266667,homogeneous
0.0143844988828766,0.5,"(7, 7)",center data,13,3,50000,19951,0.39902,0.1330066667,homogeneous
0.0143844988828766,0.75,"(7, 7)",center data,13,3,50000,19944,0.39888,0.13296,homogeneous
0.0183298071083244,0.0,"(7, 7)",center data,13,3,50000,23655,0.4731,0.1577,homogeneous
0.0183298071083244,0.05,"(7, 7)",center data,13,3,50000,23712,0.47424,0.15808,homogeneous
0.0183298071083244,0.25,"(7, 7)",center data,13,3,50000,24024,0.48048,0.16016,homogeneous
0.0183298071083244,0.5,"(7, 7)",center data,13,3,50000,23882,0.47764,0.1592133333,homogeneous
0.0183298071083244,0.75,"(7, 7)",center data,13,3,50000,23868,0.47736,0.15912,homogeneous
0.0233572146909012,0.0,"(7, 7)",center data,13,3,50000,24828,0.49656,0.16552,homogeneous
0.0233572146909012,0.05,"(7, 7)",center data,13,3,50000,24827,0.49654,0.1655133333,homogeneous
0.0233572146909012,0.25,"(7, 7)",center data,13,3,50000,24944,0.49888,0.1662933333,homogeneous
0.0233572146909012,0.5,"(7, 7)",center data,13,3,50000,24955,0.4991,0.1663666667,homogeneous
0.0233572146909012,0.75,"(7, 7)",center data,13,3,50000,24854,0.49708,0.1656933333,homogeneous
0.0297635144163132,0.0,"(7, 7)",center data,13,3,50000,25060,0.5012,0.1670666667,homogeneous
